[2020-03-14 10:50:57] [info]  [ 1516] Run service finished.
[2020-03-14 10:50:57] [info]  [ 1516] Commons Daemon procrun finished
[2020-03-14 10:50:57] [info]  [ 4000] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:50:57] [info]  [ 4000] Running 'Tomcat8' Service...
[2020-03-14 10:50:57] [info]  [ 8504] Starting service...
[2020-03-14 10:50:59] [info]  [ 8504] Service started in 1237 ms.
[2020-03-14 10:51:32] [info]  [ 7800] Stopping service...
[2020-03-14 10:51:34] [info]  [ 7800] Service stop thread completed.
[2020-03-14 10:51:34] [info]  [ 4000] Run service finished.
[2020-03-14 10:51:34] [info]  [ 4000] Commons Daemon procrun finished
[2020-03-14 10:51:34] [info]  [ 4824] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:51:34] [info]  [ 4824] Running 'Tomcat8' Service...
[2020-03-14 10:51:34] [info]  [ 4136] Starting service...
[2020-03-14 10:51:36] [info]  [ 4136] Service started in 1179 ms.
[2020-03-14 10:54:14] [info]  [ 3112] Stopping service...
[2020-03-14 10:54:15] [info]  [ 3112] Service stop thread completed.
[2020-03-14 10:54:15] [info]  [ 4824] Run service finished.
[2020-03-14 10:54:15] [info]  [ 4824] Commons Daemon procrun finished
[2020-03-14 10:54:15] [info]  [ 2596] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:54:15] [info]  [ 2596] Running 'Tomcat8' Service...
[2020-03-14 10:54:16] [info]  [ 4448] Starting service...
[2020-03-14 10:54:17] [info]  [ 4448] Service started in 1186 ms.
[2020-03-14 11:59:31] [info]  [ 9660] Stopping service...
[2020-03-14 11:59:32] [info]  [ 9660] Service stop thread completed.
[2020-03-14 11:59:32] [info]  [ 2596] Run service finished.
[2020-03-14 11:59:32] [info]  [ 2596] Commons Daemon procrun finished
[2020-03-14 11:59:33] [info]  [ 6672] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 11:59:33] [info]  [ 6672] Running 'Tomcat8' Service...
[2020-03-14 11:59:33] [info]  [ 5292] Starting service...
[2020-03-14 11:59:35] [info]  [ 5292] Service started in 2082 ms.
